Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2020-05-08,75.28152465820312,176.15821838378906,54.62799835205078,75.33492815693087,176.46345946208552,54.93333435058594,73.86391326493965,174.8991353225554,52.46733474731445,74.19161621586483,176.44437825601807,52.917999267578125,133838400,30877800,241297500
2020-05-11,76.46611785888672,178.12318420410156,54.08599853515625,76.96130593365446,178.8576432963309,54.93333435058594,74.58000881211557,174.41268266477525,52.33333206176758,74.788770669744,174.69882799697035,52.70066833496094,145946400,30892700,247794000
2020-05-12,75.59221649169922,174.0884246826172,53.96066665649414,77.60211807775983,178.40939545154916,56.21933364868164,75.47084560508229,173.88812287607698,53.866668701171875,77.15061452744153,178.1804791012175,55.133331298828125,162301200,32038200,238603500
2020-05-13,74.67949676513672,171.4556884765625,52.73066711425781,76.69425770409393,175.5572739212938,55.06666564941406,73.6017228189693,168.39380301820094,50.88666534423828,75.77183462345045,174.12648931648243,54.72200012207031,200622400,44711500,285982500
2020-05-14,75.1382827758789,172.1997528076172,53.55533218383789,75.1989682128997,172.35237337621993,53.557334899902344,73.1939190032077,167.57354188539898,50.93333435058594,73.9172920793361,169.34771596998488,52.0,158929200,41873900,205233000
2020-05-15,74.6940689086914,174.70840454101562,53.27799987792969,74.74019043820076,178.42844001683628,53.66999816894531,72.87350561087283,168.83264351100763,52.436668395996094,72.90749301488646,170.7975860728359,52.689998626708984,166348400,46610400,157776000
2020-05-18,76.45397186279297,176.37762451171875,54.242000579833984,76.82779639021302,177.6080931015087,55.64799880981445,75.32765351821324,175.4714636674925,53.59199905395508,76.01946928008294,177.17886054947482,55.185333251953125,135178400,35264500,174987000
2020-05-19,76.01219940185547,175.15670776367188,53.867332458496094,77.3181445544933,177.9896632831385,54.80466842651367,75.9806417707215,175.02316840992958,53.73866653442383,76.47097772433372,176.49210130109475,54.34466552734375,101729600,26799100,144547500
2020-05-20,77.4904556274414,177.58624267578125,54.37066650390625,77.56084540499204,177.76798251744347,55.06666564941406,76.8326201163857,175.94103881842096,54.119998931884766,76.87145968739159,176.77320062473433,54.70000076293945,111504800,31261300,109639500
2020-05-21,76.91272735595703,175.4532012939453,55.17333221435547,77.89340613060031,178.55230917533956,55.5,76.67483776673394,175.31929003584244,53.06666564941406,77.3520893444608,177.33753337989964,54.400001525878906,102688800,29119500,183819000
2020-05-22,77.4079360961914,175.52972412109375,54.45866775512695,77.49046741917871,176.43842329608967,55.45199966430664,76.54862805066547,174.60190519153238,54.133331298828125,76.65057545816492,175.2236475004892,54.81133270263672,81803200,20826900,149812500
2020-05-26,76.88360595703125,173.67410278320312,54.591331481933594,78.70659167112338,178.38970569203147,55.63999938964844,76.82777268129091,173.22454042697726,54.38066864013672,78.5269651260588,178.2366600824157,55.633331298828125,125522000,36073600,121345500
2020-05-27,77.21857452392578,173.90365600585938,54.68199920654297,77.36422105547973,174.07583596489462,55.180667877197266,76.00001360596808,168.92023059491422,52.33333206176758,76.74038038807967,172.36366922806093,54.7239990234375,112945200,39517100,173242500
2020-05-28,77.25257873535156,173.51150512695312,53.72066879272461,78.51240928442117,176.14191667686424,54.983333587646484,76.6165963973256,172.53587207882768,53.44599914550781,76.8933182003932,172.8802174473527,54.23400115966797,133560800,33810200,108834000
2020-05-29,77.17731475830078,175.28102111816406,55.66666793823242,77.95651372350704,176.25666854202132,55.66666793823242,76.82048407944905,172.5645274860914,53.61399841308594,77.49530586711329,174.78363023214627,53.91666793823242,153532400,42130400,176467500
2020-06-01,78.12645721435547,174.8793182373047,59.87333297729492,78.24782812585582,175.041923737436,59.93333435058594,77.00013159984378,173.5688997628599,56.939998626708984,77.13121425847407,174.60192122307836,57.20000076293945,80791200,22622400,224092500
2020-06-02,78.48810577392578,176.8688507080078,58.770668029785156,78.51238142716903,176.95493338896287,60.57733154296875,77.41761391453537,173.4636662169493,58.06666564941406,77.8594056167389,176.23754852387248,59.64666748046875,87642800,30794600,203484000
2020-06-03,78.92020416259766,177.29928588867188,58.86399841308594,79.18236942622238,177.85406529157166,59.862667083740234,78.23567058388883,175.59669357418727,58.67333221435547,78.80854502107137,176.78277518679027,59.20800018310547,104491200,27311000,119242500
2020-06-04,78.24051666259766,174.9654083251953,57.62533187866211,79.04156141326504,177.75842536571852,59.71666717529297,77.86669232193766,174.37237475902313,57.229331970214844,78.74299382461672,176.28540132885283,59.32533264160156,87560400,28761800,133315500
2020-06-05,80.46890258789062,179.05923461914062,59.04399871826172,80.5295880347895,179.56618535267197,59.10133361816406,78.46143067131722,174.09492970472004,57.746665954589844,78.49055850056602,174.67840323136204,58.522666931152344,137250400,39893600,117178500
2020-06-08,80.9446792602539,180.16880798339844,63.327999114990234,80.97866666833863,180.35054780751807,63.33333206176758,79.45424844734958,176.41927838524887,60.61066818237305,80.16548014966298,177.85404803432183,61.266666412353516,95654400,33211600,212620500
2020-06-09,83.50074005126953,181.54620361328125,62.711334228515625,83.89398053792564,182.40705963306385,63.62933349609375,80.59269835430385,179.11665197439055,61.595333099365234,80.62425597002903,179.82447697848326,62.66733169555664,147712400,29783900,170823000
2020-06-10,85.64900207519531,188.2800750732422,68.336669921875,86.11749189610212,189.88702501192014,68.49866485595703,84.01049518819849,182.70360076492184,65.5,84.44985718304342,182.81839228604974,66.12533569335938,166651600,43872300,278451000
2020-06-11,81.5369644165039,178.1697540283203,64.85600280761719,85.21693078033901,187.24705679853201,67.9306640625,81.43501701482725,177.97845426852322,64.80000305175781,84.79213265493966,184.7314364964898,66.01333618164062,201662400,52854700,238747500
2020-06-12,82.24090576171875,179.5758056640625,62.35200119018555,84.42558161332404,183.3827243729169,65.8653335571289,81.12915175448484,177.12711944513842,60.84000015258789,83.67794024802434,182.25403113045203,65.33333587646484,200146000,43373600,251451000
2020-06-15,83.25800323486328,180.72361755371094,66.05999755859375,83.91097923516973,182.52186715173283,66.5893325805664,80.7310603407497,176.00799959567502,60.56666564941406,80.89370059767263,176.5532191592075,61.18600082397461,138808800,32770200,235458000
